id,segment,category,description,P,I,raw_PxI,m_effectiveness,residual_R,countermeasure_id,countermeasure_name
T01,SIS,Спуфинг,"Generated GPS-style спуфинг на сигнал L1 BOC(1,1)",0.50,8.0,4.00,0.85,0.600,CM01,TESLA MAC
T02,SIS,Глушение,Узкополосный CW-jam в полосе L5 (10 МГц),0.70,5.0,3.50,0.70,1.050,CM02,Антенный array-nulling
T03,SIS,Спуфинг,"Meaconing/replay со сдвигом задержки 0,2–3 мс",0.40,7.0,2.80,0.80,0.560,CM01,TESLA MAC
T04,SIS,Глушение,"Широкополосный barrage jam (L1+L5, 30 МГц)",0.45,7.0,3.15,0.65,1.102,CM02,Антенный array-nulling
T05,SIS,Перехват,Криптоанализ публичного канала E1-B (низкий),0.15,4.0,0.60,0.50,0.300,CM03,Шифрование сервисного канала
T06,Bort,Криптовзлом,Извлечение ключей TESLA через DPA side-channel,0.10,9.0,0.90,0.80,0.180,CM04,HSM на борту
T07,Bort,RF-воздействие,RF-инжекция в шину часов USO бортового приёмника,0.05,9.0,0.45,0.60,0.180,CM05,Экранирование USO + фильтры
T08,Bort,ПО,Эксплойт в навигационном процессоре (SEU-trigger),0.15,8.0,1.20,0.55,0.540,CM06,ECC память + watchdog
T09,Bort,Аппаратное,Отказ FPGA-кодогенератора (single-event latch-up),0.08,7.0,0.56,0.70,0.168,CM07,Rad-hard FPGA + TMR
T10,MCS,Цепочка поставок,Backdoor в стороннем ПО SSR-расчёта,0.20,10.0,2.00,0.55,0.900,CM08,Code-signing + SBOM-аудит
T11,MCS,Сеть,DDoS на сервер OD (Orbit Determination),0.50,5.0,2.50,0.70,0.750,CM09,Anti-DDoS + WAF
T12,MCS,Привилегии,Эскалация привилегий на операторской станции,0.20,9.0,1.80,0.65,0.630,CM10,RBAC + MFA + zero-trust
T13,MCS,Физика,Физический доступ к опорной MCS-станции (insider),0.10,8.0,0.80,0.75,0.200,CM11,Физ. безопасность станций
T14,TTC,Инжекция,Повреждение TC-команд (TT&C MitM),0.15,9.0,1.35,0.85,0.203,CM12,Auth+counter TT&C
T15,TTC,Повтор,Replay криптокоманд TT&C без счётчика,0.25,7.0,1.75,0.85,0.263,CM12,Auth+counter TT&C
T16,TTC,Перехват,Перехват TM-данных (телеметрии) — пассивный,0.40,3.0,1.20,0.60,0.480,CM13,Шифрование TM
T17,User,Спуфинг,Spoofing-атака на пользовательский приёмник (наземный),0.55,6.0,3.30,0.80,0.660,CM01,TESLA MAC
T18,User,Side-channel,Извлечение клиентских ключей через power-trace,0.20,6.0,1.20,0.60,0.480,CM14,Защищённое хранилище ключей
T19,User,Подделка,Поддельные приёмники с предзагруженным trust-anchor,0.30,7.0,2.10,0.55,0.945,CM15,Attestation + secure boot
T20,User,ПО,Уязвимость в драйвере декодера TESLA на устройстве,0.25,7.0,1.75,0.65,0.612,CM15,Attestation + secure boot
