id;категория;описание;P;S;PxS;уровень;владелец;мера
E-03;Внешний;Запрет на использование иностранных РН (санкции);4;4;16;High;Запусковый сегмент;Опора на «Союз-2», «Ангара-1.2/А5», запас 30% по слотам
E-05;Внешний;Эмбарго на rad-hard ЭКБ;4;4;16;High;ЭКБ;Импортозамещение «Микрон»/«Ангстрем», rad-tolerant COTS+TMR
T-02;Технический;Радиационное повреждение БЦВМ;3;4;12;Medium;ЭКБ / БЦВМ;Rad-hard ЭКБ, TMR, ECC память, перепроектирование Phase 1
P-01;Программный;Срыв сроков ОКР;3;4;12;Medium;Руководство проекта;Резерв 6 мес. на ОКР, ежеквартальный аудит CDR
P-02;Программный;Удорожание свыше 1,5× LCC;3;4;12;Medium;Финансовый блок;Resp-стратегия закупок, индексация контрактов, EV-учёт
E-01;Внешний;Отказ МСЭ в выделении частот;2;5;10;Medium;Регуляторика;Coordination filing 7 лет до старта, резервная полоса L-band
S-01;Косм. среда;Столкновение с космическим мусором;2;5;10;Medium;Полёт. динамика;СПД-25/55, авто-манёвр Pc>1e-4, страх. 25% запас Δv
T-04;Технический;Превышение бюджета массы при ОКР;3;3;9;Medium;Системотехника;Резерв 15% массы T1, утилизация запаса топлива
P-03;Программный;Уход ключевого персонала;3;3;9;Medium;HR;Программа удержания, дублирование компетенций, opcionon
E-02;Внешний;Задержка ГКРЧ;3;3;9;Medium;Регуляторика;Параллельная подача заявок РЭС, лоббирование ФАС
E-06;Внешний;Геополитический запрет наземных станций за рубежом;3;3;9;Medium;Наземный сегмент;RU-only сеть из 21 МКС + ISL-only POD как fallback
S-02;Косм. среда;Внеплановая солн. вспышка (SEU storm);3;3;9;Medium;БЦВМ/АРМ;Safe-mode, TMR, watchdog, восстан. за <1 ч
C-02;Кибер;Спуфинг сигнала АВРОРА;3;3;9;Medium;ИБ / приёмники;Аутентиф. навигационного сообщения OSNMA + TESLA, RF-watermark
C-03;Кибер;DoS на MCS центр;3;3;9;Medium;ИБ / MCS;Гео-резерв MCS (Москва + Красноярск), DDoS-защита
T-05;Технический;Несоответствие SISA требованию <0,5 м;2;4;8;Medium;POD/часы;Параллельный POD на двух движках, ISL ranging как backup
E-04;Внешний;Срыв поставок Cs-стандартов РИРВ;2;4;8;Medium;Часовой блок;Контракт с двумя поставщиками Cs, стратегический запас 60 шт.
S-03;Косм. среда;Сход сторонней КА в зоне созвездия;2;4;8;Medium;Полёт. динамика;Мониторинг 18 SPCS, COLA <72 ч, манёвр Δv≤5 см/с
C-01;Кибер;Компрометация TESLA-ключей;2;4;8;Medium;ИБ;Ротация ключей <30 с, HSM на MCS, разделение полномочий
T-01;Технический;Отказ Cs-часов на КА;2;3;6;Medium;Бортовой компл.;Резерв 3×Cs + 2×Rb + OCXO, фолбэк до Rb/OCXO
T-03;Технический;Многократный отказ ISL канала;2;3;6;Medium;ISL/связь;4 канала ISL на КА, mesh-резервирование через 8 соседей
P-04;Программный;Конфликт со «Сферой» Роскосмоса;2;3;6;Medium;Руководство;Соглашение о разделении частот L1/L5 vs L2/L6, координация
O-02;Эксплуатация;Несинхронизация LPT с UTC >1 мкс;2;3;6;Medium;Часовой блок / РИРВ;Дублирование UTC(SU) канала, 3-уровн. сравнение TWSTFT
O-03;Эксплуатация;Отказ сети RSN > 5 станций;2;3;6;Medium;Наземный сегмент;Резерв 5 ст. горячего pool, ISL-only POD как backup PPP
O-01;Эксплуатация;Отказ MCS без резерва;1;5;5;Low;Наземный сегмент;Резервный MCS hot-standby, RPO=0, RTO<5 мин
T-06;Технический;Деградация солн. батарей быстрее планируемой;2;2;4;Low;СЭП;Запас 25% по мощности EOL, оптимизация цикла заряда
