фаза;старт_месяц;длительность_мес;конец_месяц;год_начала;год_конца;статус
1. Концептуальный проект (выполнен);0;6;6;2026.01;2026.07;done
2. Эскизный проект;3;9;12;2026.04;2027.01;done
3. Технический проект (ТЕКУЩАЯ ФАЗА);9;12;21;2026.10;2027.10;active
4. ОКР: рабочая документация;18;18;36;2027.07;2029.01;planned
5. ОКР: квалификационные испытания;30;12;42;2028.07;2029.07;planned
6. Производство опытной партии (Phase 0/1);36;18;54;2029.01;2030.07;planned
7. Запуск демонстратора (Ф0, 3 КА);52;1;53;2030.05;2030.06;planned
8. ЛКИ + валидация;53;6;59;2030.06;2030.12;planned
9. Серия Ф1-Ф2 (90 КА);54;24;78;2030.07;2032.07;planned
10. Запуски Ф1-Ф2 (5 пусков);66;18;84;2031.07;2033.01;planned
11. Серия Ф3-Ф4 (210 КА);78;36;114;2032.07;2035.07;planned
12. Запуски Ф3-Ф4 (10 пусков);90;30;120;2033.07;2036.01;planned
13. Штатная эксплуатация Ф4;120;84;204;2036.01;2043.01;planned

веха;месяц;год
M1: Защита ТП;21;2027.10
M2: Готовность к ОКР;30;2028.07
M3: Запуск Ф0 (3 КА);52;2030.05
M4: ВЭ Ф1 (24 КА);78;2032.07
M5: ВЭ Ф3 (180 КА, оп. фаза);102;2034.07
M6: ВЭ Ф4 (300 КА полное);120;2036.01
M7: Конец проектного срока (7 лет);204;2043.01
